Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
Aerocuahonte,MX,,,,CUAHONTE,N/A,0,,1,1,1,4,24.8,0,0,,,,,
Aerodan,MX,,,,AERODAN,N/A,0,,,,,1,55,0,0,,,,,
AeroDesierto,CL,,,,AERODESIERTO,N/A,0,,,,,1,40,0,0,,,,,
Aerodinamica de Monterrey,MX,,,,DINAMICAMONT,N/A,,,,,,,,,,,,,,
Aerodiplomatic,MX,,,,AERODIPLOMATIC,N/A,0,,,,,1,45,0,0,,,,,
Aerodis Aviacion,ES,,,,AERODIS,N/A,,,,,,,,,,,,facebook.com/Aerodis,,
Aerodrome Control Tower,,,,,TOWER,N/A,,,,,,,,,,,,,,
Aerodrome Security Services,,,,,,N/A,,,,,,,,,,,,,,
Aerodynamics,UK,,,,COTSWOLD,N/A,,,,,,,,,,,,facebook.com/aerodynamicsltd2014,,linkedin.com/company/aerodynamics-ltd
Aerodynamics Malaga,ES,,,,FLYINGOLIVE,N/A,0,,1,,,2,31,0,0,,,facebook.com/AerodynamicsAcademy,instagram.com/aerodynamicsacademy/,
Aeroejecutiva Nieto,MX,,,,AERONIETO,N/A,,,,,,,,,,,,,,
Aeroejecutivos Colombia,CO,,,,AEROEJECUTIVOS,N/A,,,,,,,,,,,,,,
Aeroel Airways,IL,,,,AEROEL,N/A,,,,,,,,,,,,,,
Aeroeste,BO,,,,ESTEBOLIVIA,N/A,,,,,,6,27,,,,,,,
Aerofan,ES,,,,AEROFAN,N/A,,,,,,,,,,,,facebook.com/aerofanmadrid,instagram.com/aerofan_madrid/,
Aerofaq,EC,,,,,N/A,,,,,,,,,,,,facebook.com/grupomanobanda.ec,instagram.com/grupomanobanda,linkedin.com/company/grupo-manobanda/
Aeroferinco,MX,,,,AEROFERINCO,N/A,,,,,,,,,,,,,,
Aeroflight Academy of Aviation,US,,,,AEROFLIGHT,N/A,,,,,,,,,,,,,,
Aeroflot,RU,SU,555,555,AEROFLOT,N/A,1,2023-10-14T00:00:00.000Z,1,1,1,178,4.8,4,2,,,,,
Aeroflota del Noroeste,ES,,,,RIAZOR,N/A,,,,,,,,,,,,facebook.com/afn.aeroflotadelnoroeste,instagram.com/afnpilotos,
Aerofly,MX,,,,AEROFIL,N/A,,,,,,,,,,,,,,
Aeroflyer,CA,,,,,N/A,,,,,,,,,,,,,,
Aerofreight,MX,,,,,N/A,,,,,,,,,,,,,,
Aerofrisco,MX,,,,AEROFRISCO,N/A,,,,,,,,,,,,,,
Aerogisa,MX,,,,AEROGISA,N/A,,,,,,,,,,,,,,
Aerogroup,UK,,,,TYNWALD,N/A,,,,,,,,,,,,,,
AeroGuard Flight Training Center,US,,,,AEROSUN,N/A,,,1,,,,,,,,,facebook.com/FlyAeroGuard,instagram.com/flyaeroguard/,linkedin.com/company/aeroguard-flight-training-center/
AEROHELI International,DE,,,,AIRWOLF,N/A,,,,,,,,,,,,,,
Aerohelicopteros,VE,,,,AEROHELCA,N/A,0,,1,1,,1,28,0,0,,,,,
Aeroitalia Regional,RO,KS*,,,AIRCONNECT,N/A,,,,,,,,,,,,,,
Aeroitalia,IT,XZ,,419,AEROITALIA,N/A,,,1,,1,,,,,,,,,
