itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2512290800--32695-1-10968-2512291311,business,"C$1,588",501,Toronto Pearson International,Chicago O'Hare International,117,1,American Airlines,Envoy Air,False,0.216452,2025-12-29,08:00:00,2025-12-29,08:57:00
18467-2512290800--32695-1-10968-2512291311,business,"C$1,588",3658,Chicago O'Hare International,Dallas Fort Worth International,146,1,American Airlines,American Airlines,False,0.216452,2025-12-29,10:45:00,2025-12-29,13:11:00
18467-2512291400--32695-1-10968-2512292224,business,"C$1,110",507,Toronto Pearson International,Chicago O'Hare International,111,1,American Airlines,American Airlines,False,0.221368,2025-12-29,14:00:00,2025-12-29,14:51:00
18467-2512291400--32695-1-10968-2512292224,business,"C$1,110",5521,Chicago O'Hare International,Dallas Fort Worth International,154,1,Air Canada,SkyWest Delta Connection,False,0.221368,2025-12-29,19:50:00,2025-12-29,22:24:00
18467-2512291400--31722-0-10968-2512291642,first,C$685,8078,Toronto Pearson International,Dallas Fort Worth International,222,0,Air Canada,United Airlines,False,0.999,2025-12-29,14:00:00,2025-12-29,16:42:00
18467-2512291940--31722-0-10968-2512292222,first,C$842,8130,Toronto Pearson International,Dallas Fort Worth International,222,0,Air Canada,Air Canada,False,0.673735,2025-12-29,19:40:00,2025-12-29,22:22:00
18467-2512291125--32573-1-10968-2512291555,first,C$690,3604,Toronto Pearson International,Chicago O'Hare International,120,1,Air Canada,United Airlines,False,0.427634,2025-12-29,11:25:00,2025-12-29,12:25:00
18467-2512291125--32573-1-10968-2512291555,first,C$690,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,Air Canada,Air Canada,False,0.427634,2025-12-29,13:15:00,2025-12-29,15:55:00
18467-2512290615--32573-1-10968-2512291109,first,C$690,3524,Toronto Pearson International,Chicago O'Hare International,135,1,Air Canada,United Airlines,False,0.427893,2025-12-29,06:15:00,2025-12-29,07:30:00
18467-2512290615--32573-1-10968-2512291109,first,C$690,2247,Chicago O'Hare International,Dallas Fort Worth International,169,1,Air Canada,United Airlines,False,0.427893,2025-12-29,08:20:00,2025-12-29,11:09:00
